track	meanf	mean.rank	rmkd
GCN Baby Park	0.42237450040878	1	211.18725020439
SNES Donut Plains 3	0.508739824167397	2	254.369912083698
N64 Rainbow Road	0.531425995577844	3	265.712997788922
3DS Toad Circuit	0.540039016802693	4	270.019508401346
GBA Boo Lake	0.555354275834363	5	277.677137917181
Tour New York Minute	0.560185728422669	6	280.092864211334
Wii Moo Moo Meadows	0.562798883880996	7	281.399441940498
GBA Mario Circuit	0.56748575947612	8	283.74287973806
Big Blue	0.569822010492976	9	284.911005246488
Tour Tokyo Blur	0.580091968781694	10	290.045984390847
GBA Riverside Park	0.585716484619713	11	292.858242309857
SNES Rainbow Road	0.585874401743795	12	292.937200871898
GBA Sky Garden	0.588279117097962	13	294.139558548981
Wii Mushroom Gorge	0.589159744312084	14	294.579872156042
N64 Kalimari Desert	0.59255324260445	15	296.276621302225
GBA Snow Land	0.598194767182003	16	299.097383591001
SNES Mario Circuit 3	0.614190381316541	17	307.09519065827
Tour Amsterdam Drift	0.639060904843474	18	319.530452421737
Mario Kart Stadium	0.639347225757118	19	319.673612878559
3DS Rainbow Road	0.659900456584126	20	329.950228292063
Animal Crossing	0.660684699564981	21	330.34234978249
DS Mario Circuit	0.66540830912798	22	332.70415456399
Water Park	0.674252791888021	23	337.126395944011
Super Bell Subway	0.685341177246376	24	342.670588623188
Excitebike Arena	0.687891719874177	25	343.945859937089
GCN Yoshi Circuit	0.691670972721488	26	345.835486360744
Tour Bangkok Rush	0.692037508524464	27	346.018754262232
DS Tick-Tock Clock	0.694001572774329	28	347.000786387164
Wii Coconut Mall	0.695310022144896	29	347.655011072448
GBA Cheese Land	0.700377068264312	30	350.188534132156
N64 Toad's Turnpike	0.701162573619297	31	350.581286809648
Mount Wario	0.701653405317502	32	350.826702658751
Dragon Driftway	0.701926920023263	33	350.963460011631
Mario Circuit	0.702522621792656	34	351.261310896328
DS Shroom Ridge	0.714871847538938	35	357.435923769469
GBA Ribbon Road	0.719699462024855	36	359.849731012428
Ice Ice Outpost	0.72021115448129	37	360.105577240645
DS Cheep Cheep Beach	0.720691341652221	38	360.345670826111
3DS Neo Bowser City	0.721266939354523	39	360.633469677262
Wild Woods	0.721606344470523	40	360.803172235261
GCN Sherbet Land	0.72423804523021	41	362.119022615105
Tour Paris Promenade	0.734535215055572	42	367.267607527786
Thwomp Ruins	0.737655320618927	43	368.827660309464
Bone-Dry Dunes	0.738344084902095	44	369.172042451047
Hyrule Circuit	0.742166189156326	45	371.083094578163
Tour Merry Mountain	0.745462835711144	46	372.731417855572
GCN Dry Dry Desert	0.749550791074661	47	374.77539553733
Sweet Sweet Canyon	0.753234707110574	48	376.617353555287
N64 Choco Mountain	0.758268276932289	49	379.134138466144
Mute City	0.759513958152195	50	379.756979076098
DS Wario Stadium	0.762566595101778	51	381.283297550889
Sky-High Sundae	0.765983709741928	52	382.991854870964
Dolphin Shoals	0.771050484525527	53	385.525242262764
Wii Grumble Volcano	0.771066742513549	54	385.533371256775
3DS Music Park	0.771483866428778	55	385.741933214389
Twisted Mansion	0.773932559124151	56	386.966279562076
Tour Ninja Hideaway	0.779342592661369	57	389.671296330684
Tour Berlin Byways	0.780752653661013	58	390.376326830507
Tour Singapore Speedway	0.781683737951101	59	390.841868975551
N64 Royal Raceway	0.786956239384194	60	393.478119692097
Electrodrome	0.787730101454222	61	393.865050727111
GCN Waluigi Stadium	0.792952931417956	62	396.476465708978
N64 Yoshi Valley	0.799369020946242	63	399.684510473121
Shy Guy Falls	0.800939973825272	64	400.469986912636
Tour Sydney Sprint	0.806960667242508	65	403.480333621254
Bowser's Castle	0.807154101954909	66	403.577050977454
Yoshi's Island	0.809470238001063	67	404.735119000532
3DS Piranha Plant Slide	0.81036620398719	68	405.183101993595
Sunshine Airport	0.815926260821836	69	407.963130410918
Wii Wario's Gold Mine	0.81732360837468	70	408.66180418734
Toad Harbor	0.822070246905819	71	411.035123452909
3DS DK Jungle	0.824673218908344	72	412.336609454172
DS Peach Gardens	0.825209490864657	73	412.604745432328
Cloudtop Cruise	0.826810469290498	74	413.405234645249
Wii DK Summit	0.835061178901141	75	417.53058945057
Rainbow Road	0.835109214539734	76	417.554607269867
3DS Rock Rock Mountain	0.847146229606113	77	423.573114803056
Tour London Loop	0.852396083504383	78	426.198041752192
DS Waluigi Pinball	0.974191732072298	79	487.095866036149
Wii Maple Treeway	1	80	500
