track	cup	etl	ptl_avg	ptl_jess	ptl_nathan	rmkd
Mario Kart Stadium	Mushroom Cup	2.53125	2.46011657031335	2.28905079272488	2.63118234790183	319.673612878559
Water Park	Mushroom Cup	2.4375	2.60614762807411	2.41584456407309	2.79645069207512	337.126395944011
Sweet Sweet Canyon	Mushroom Cup	3.1875	2.93657666568561	2.70274479258723	3.170408538784	376.617353555287
Thwomp Ruins	Mushroom Cup	2.71875	2.82930509352924	2.60960455652565	3.04900563053283	363.79687887926
Mario Circuit	Flower Cup	2.71875	2.72441739479866	2.51853415620113	2.93030063339618	351.261310896328
Toad Harbor	Flower Cup	3.09375	3.22455728889437	2.95278851514703	3.4963260626417	411.035123452909
Twisted Mansion	Flower Cup	2.89453125	3.02316827722353	2.77792932635948	3.26840722808758	386.966279562076
Shy Guy Falls	Flower Cup	NA	3.13615659895415	2.87603322049137	3.39627997741693	400.469986912636
Sunshine Airport	Star Cup	3.31640625	3.19885328560313	2.93047060849061	3.46723596271565	407.963130410918
Dolphin Shoals	Star Cup	NA	3.01111081909195	2.76746024798109	3.25476139020281	385.525242262764
Electrodrome	Star Cup	NA	3.08089172721436	2.82804862311592	3.33373483131282	393.865050727111
Mount Wario	Star Cup	NA	2.72078093748369	2.51537674472728	2.92618513024009	350.826702658751
Cloudtop Cruise	Special Cup	3.26953125	3.24438850109302	2.97000727822134	3.51876972396469	413.405234645249
Bone-Dry Dunes	Special Cup	NA	2.87428020260391	2.64865490501875	3.09990550018906	369.172042451047
Bowser's Castle	Special Cup	NA	3.16215404877142	2.89860591672678	3.42570218081607	403.577050977454
Rainbow Road	Special Cup	3.48046875	3.27910716293303	3.00015230448055	3.5580620213855	417.554607269867
GCN Yoshi Circuit	Egg Cup	NA	2.67901839492659	2.47911575783106	2.87892103202213	345.835486360744
Excitebike Arena	Egg Cup	NA	2.66320749849912	2.46538769739532	2.86102729960292	343.945859937089
Dragon Driftway	Egg Cup	NA	2.72192521463552	2.5163702814295	2.92748014784154	350.963460011631
Mute City	Egg Cup	NA	2.96261239665959	2.7253507270413	3.19987406627789	379.728992761406
GBA Cheese Land	Crossing Cup	NA	2.71544124898709	2.51074047589043	2.92014202208374	350.188534132156
Wild Woods	Crossing Cup	NA	2.80425612877623	2.58785539742139	3.02065686013107	360.803172235261
Animal Crossing	Crossing Cup	NA	2.54938410599575	2.3665587398814	2.73220947211009	330.34234978249
Wii Moo Moo Meadows	Shell Cup	2.09765625	2.13986863930773	2.01099047075428	2.26874680786119	281.399441940498
GBA Mario Circuit	Shell Cup	NA	2.15947666967694	2.02801545268172	2.29093788667216	283.74287973806
DS Cheep Cheep Beach	Shell Cup	NA	2.80042811954384	2.58453166797114	3.01632457111655	360.345670826111
N64 Toad's Turnpike	Shell Cup	NA	2.71872749214484	2.51359380839331	2.92386117589637	350.581286809648
GCN Dry Dry Desert	Banana Cup	NA	2.92116462070091	2.68936304121348	3.15296620018833	374.77539553733
SNES Donut Plains 3	Banana Cup	2.09765625	1.91370695374953	1.81462201676847	2.01279189073059	254.369912083698
N64 Royal Raceway	Banana Cup	NA	3.07765419494735	2.82523758461294	3.33007080528177	393.478119692097
3DS DK Jungle	Banana Cup	3.09375	3.23544709235508	2.96224375892323	3.50865042578693	412.336609454172
DS Wario Stadium	Leaf Cup	NA	2.97561758738704	2.73664268920825	3.21459248556582	381.283297550889
GCN Sherbet Land	Leaf Cup	NA	2.81526612197346	2.5974149978338	3.03311724611312	362.119022615105
3DS Music Park	Leaf Cup	NA	3.01292391725253	2.76903449908308	3.25681333542199	385.741933214389
N64 Yoshi Valley	Leaf Cup	NA	3.12958435458038	2.87032676555535	3.38884194360541	399.684510473121
